artist_id,artist_name,gender,notes,source_row
177,Gio Evan,M,,180
176,Gino Paoli,M,,179
175,Ginevra,F,,178
173,Gigi D'Alessio,M,,176
146,Francesco Mandelli,M,,149
154,Fred De Palma,M,,157
124,Eros Ramazzotti,M,,127
126,Eurythmics,Mixed,,129
125,Eugenio Bennato,M,,128
145,Francesco Guccini,M,,148
123,Ermal Meta,M,,126
122,Enzo Jannacci,M,,125
121,Enrico Ruggeri,M,,124
120,Enrico Nigiotti,M,,123
119,Emma,F,,122
118,Emanuela Fanelli,F,,121
117,Elton John,M,,120
116,Elodie,F,,119
115,Elisa,F,,118
114,Elio e le Storie Tese,M,,117
113,Elettra Lamborghini,F,,116
112,Elena D'Amario,F,,115
111,Eiffel 65,M,,114
110,Eduardo De Crescenzo,M,,113
109,Edoardo Bennato,M,,112
108,Edoardo,M,,111
107,Eddie Brock,M,,110
106,Dori Ghezzi,F,,109
105,Donatella Rettore,F,,108
104,Don Joe,M,,107
127,Extraliscio con Davide Toffolo,M,,130
128,Fabio Liberatori,M,,131
132,Fasma,M,,135
134,Fausto Leali,M,,137
135,Federico Poggipollini,M,,138
136,Fedez,M,,139
137,Filippo Timi,M,,140
138,Fiorella Mannoia,F,,141
130,Fabrizio De André,M,,133
139,Frah Quintale,M,,142
131,Fabrizio Moro,M,,134
129,Fabrizio Bosso,M,,132
141,Francesca Fagnani,F,,144
142,Francesca Michielin,F,,145
143,Francesco De Gregori,M,,146
144,Francesco Gabbani,M,,147
140,Francesca Alotta,F,,143
133,Fausto Cigliano,M,,136
301,Ofenbach,,,299
324,Quartetto d'archi dell'Orchestra di Roma,,,323
302,Ofenbach feat. Norma Jean Martine,,,300
372,Sethu,,,371
421,Viito,,,420
420,Venerus,,,419
419,Vegas Jones,,,418
323,Quartetto Cetra,,,322
389,Takagi & Ketra,,,388
387,Sud Sound System,,,386
386,Stjepan Hauser,,,385
385,Stef Burns,,,384
280,Mitzi Green,,,278
393,The Bluebeaters,,,392
394,The Guess Who,,,393
396,The Ronettes,,,395
397,Timofej Andrijashenko,,,396
383,Soul System,,,382
401,Tony Del Monaco,,,400
380,Solis String Quartet,,,379
273,Merk & Kremont,,,271
378,Sissi,,,377
405,Toquinho,,,404
332,Ratchopper,,,331
288,Napoli Mandolin Orchestra,,,286
289,Nayt,,,287
329,Random,,,328
328,Rancore,,,327
40,BabelNova Orchestra,,,42
413,Twin Violins,,,412
362,Samurai Jay,,,361
